brand,file_path,product_usage_in_action,product_usage_in_action_description,product_clearly_seen,product_clearly_seen_description,is_a_child_or_baby_present,is_a_child_or_baby_present_description
mymilliemoon,results/mymilliemoon/C_wHWYvyrZy_2024-09-10_21-31-25_UTC.jpg,False,No one is shown using the product in the video.,False,"The products are in a container, therefore it is difficult to see the details of the product.",False,There is no child or baby present in the video.
honest,results/honest/C-3imc3JxGA_2024-08-19_22-13-07_UTC_1.jpg,False,"The baby is wearing a diaper, but it is not shown being put on or changed.",False,The brand of diaper is not visible.,True,A baby is being held by a parent in the reflection of a mirror.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_5.jpg,False,"The video shows a family in a bathroom, but there is no depiction of anyone using Honest Company products.",False,No Honest Company products are visible in the video.,True,A baby is visible in the arms of one of the adults.
honest,results/honest/C-vk3Z0uQv__2024-08-16_19-59-35_UTC.jpg,False,There is no product usage shown in the video.,False,The video does not show any product from the brand.,False,There is no child or baby present in the video.
honest,results/honest/C7HbfzpuQW-_2024-05-18_16-13-18_UTC.jpg,False,"The video shows diapers in a container, but it does not show anyone using them.",True,The diapers are clearly visible and from the Honest brand.,False,There are no children or babies present in the video.
honest,results/honest/C-THAnoyico_2024-08-05_18-38-44_UTC_1.jpg,False,"The baby is wearing the diaper, but there is no demonstration of the process of putting it on.",True,"The diaper packaging is clearly visible, and the diaper itself is visible on the baby.",True,"A baby is present in the image, wearing one of the diapers."
honest,results/honest/C5V5rSFL72n_2024-04-04_14-05-01_UTC.jpg,False,The video shows a family but there is no product usage shown in the video,False,The product is not seen in the video,True,There are two babies present in the video
honest,results/honest/Cz98vlUM7PN_2023-11-23_00-13-19_UTC_1.jpg,False,"The video shows the Honest Company's baby products in a gift basket, but does not show anyone using them.",True,"Yes, the Honest Company face and body lotion and oil are clearly visible in the video.",False,No child or baby is present in the video.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_4.jpg,True,A woman is shown applying a cream to her face.,True,The cream container is clearly visible in the woman's hand.,False,No child or baby is present in this video.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_3.jpg,False,"The video shows a person applying face cream, but the specific product is not shown.",False,"The brand is shown, but no specific product is shown.",False,There are no children or babies present in the video.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_7.jpg,False,The video does not show anyone using the product.,False,The product is not shown in the video.,True,A baby is present in the video.
honest,results/honest/C9Td6h1OkiZ_2024-07-12_01-27-29_UTC_2.jpg,False,The video shows only the product packaging. There is no demonstration of the product being used.,True,The product packaging is clearly visible and shows the Honest brand clearly.,False,No child or baby is present in the video.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_9.jpg,False,"The video shows a family, but there is no demonstration of anyone using the Honest diapers.",False,"Honest Company logo is visible, but no Honest product is shown.",True,A baby is being held by a parent.
honest,results/honest/C-EDT4CS7Ai_2024-07-30_22-17-48_UTC_1.jpg,False,There is no product being used in the video. The video shows a baby and a mother.,False,The product is not seen in the video.,True,A baby is present in the video.
honest,results/honest/C65KuSLsHLH_2024-05-13_03-16-44_UTC_3.jpg,False,No one in the video is shown using the diapers.,True,A box of Huggies diapers is visible in the bottom right corner.,False,There is no child or baby present in the video.
honest,results/honest/C5WVuacP2Hs_2024-04-04_18-08-04_UTC_1.jpg,False,There is no product shown in the video.,False,There is no product shown in the video.,True,A baby is present in the video.
honest,results/honest/C9Td6h1OkiZ_2024-07-12_01-27-29_UTC_1.jpg,False,"The video shows a baby near the diapers, but it does not show the baby using the diapers.",True,"The Honest brand diapers are clearly shown in the image. The packaging is clearly visible, showing the brand name and other information.",True,"A baby is present in the image, sitting near the diaper packaging."
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_2.jpg,False,There is no person or baby shown in this image using any product.,False,There is no product shown in this image.,False,There are no children or babies present in this image.
honest,results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_3.jpg,False,No product is being used in the video.,False,No product from the brand is shown in the video.,True,"A baby is present in the video, being held by an adult."
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_1.jpg,False,"The video shows a mother and baby, but does not depict the use of any Honest products.",False,No Honest products are visible in the video.,True,A baby is present in the video.
honest,results/honest/C9LqP_Qs-Wn_2024-07-09_00-41-45_UTC_1.jpg,False,There is no product shown in the video.,False,The product is not seen at all in the video.,True,A baby is present in the bathtub.
honest,results/honest/C-VIgozxD5N_2024-08-06_13-34-28_UTC_1.jpg,True,"A baby is shown wearing a diaper. Although we don't see the changing process, the baby is wearing the diaper, which implies usage.",True,The Honest brand diapers are visible on the baby and there are Honest brand products visible on the bed.,True,There is a baby present wearing a diaper.
honest,results/honest/C-Toc02RZ7Z_2024-08-05_23-30-00_UTC_1.jpg,False,The video does not show anyone using the product.,False,The product is not visible in the video.,True,A baby is visible in the video.
honest,results/honest/C3Qqr9OSbLJ_2024-02-12_20-19-14_UTC.jpg,True,A child is holding the Honest brand lotion and it is implied that they are using it.,True,The Honest brand lotion is clearly visible in the child's hands.,True,A young child is present in the video and appears to be using the product.
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_6.jpg,False,"There is no person in this video, therefore, there is no one to use the product.",False,The image shows a dining table and chairs. There is no product from the brand Honest that is clearly seen.,False,There is no child or baby present in the image.
honest,results/honest/C3F6eJUMTmT_2024-02-08_16-01-16_UTC.jpg,False,There is no product usage shown in the video.,False,The image does not show any product from the Honest brand.,True,Two children are present in the image.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_8.jpg,True,"A baby is wearing the diaper, and the person is holding the baby.",True,The Honest diaper is clearly visible on the baby.,True,A baby is present and is wearing the diaper.
honest,results/honest/C9Td6h1OkiZ_2024-07-12_01-27-29_UTC_3.jpg,False,"The video shows diapers in a drawer, but does not show anyone using them.",True,The diapers are clearly visible in the drawer; the packaging design is visible.,False,There are no children or babies present in the video.
honest,results/honest/C013KVDOSrL_2023-12-14_17-19-43_UTC.jpg,False,The video shows a woman loading a car with baby items.  There is no visible use of Honest products.,False,No Honest Company products are visible in the video.,False,"There is a baby carrier visible in the video, but no baby is present."
honest,results/honest/C-EDT4CS7Ai_2024-07-30_22-17-48_UTC_2.jpg,False,"The baby is wearing the diaper, but there is no demonstration of putting it on or using it.",True,The diaper is visible on the baby.,True,A baby is present and wearing a diaper.
honest,results/honest/C3NftnLA4dS_2024-02-11_14-41-07_UTC_1.jpg,False,The video only shows a hand holding the product. There is no demonstration of the product being used.,True,"The product, Honest Healing Head-to-Toe Ointment, is clearly visible and the label is readable.",False,No child or baby is present in the video.
honest,results/honest/C__xV9Gyls3_2024-09-16_23-30-36_UTC_1.jpg,True,"A baby is shown wearing a diaper; however, it is unclear whether it is the brand's diaper.",False,"The product is not clearly seen.  There is a diaper on a baby, but the brand is not visible.",True,There is a baby present wearing a diaper.
honest,results/honest/C9umSZnOhje_2024-07-22_14-20-39_UTC_1.jpg,False,"The video shows a mother holding a baby, but it does not show the baby wearing or using any Honest products.",False,No Honest products are visible in this video.,True,"There is a baby present in the video, being held by its mother."
honest,results/honest/C-THAnoyico_2024-08-05_18-38-44_UTC_2.jpg,False,"The baby is wearing a diaper, but there is no demonstration of putting it on or changing it.",True,"The diapers are clearly visible in the woman's hand, and one is visible on the baby.",True,A baby is present and is wearing a diaper.
honest,results/honest/C-WAF86ygZF_2024-08-06_21-38-49_UTC_1.jpg,False,"The video shows a person interacting with a baby, but there is no visual of the product being used on the baby.",False,The product is not seen in the video.,True,A baby is being held by a person in the video.
honest,results/honest/C-IRz2Jxh5-_2024-08-01_13-41-27_UTC_1.jpg,False,"The baby is wearing a diaper, but the video does not show the process of putting it on.",True,A pack of Honest diapers is clearly visible in a basket on a changing table.,True,A baby is present and is wearing a diaper.
honest,results/honest/C90EwmjJkAM_2024-07-24_17-22-36_UTC.jpg,False,"There is a baby present in the video, but it is not shown wearing or using the product.",False,The product is not shown in the video.,True,There is a baby present in the video.
honest,results/honest/C-EDT4CS7Ai_2024-07-30_22-17-48_UTC_3.jpg,False,"The video shows a baby wearing a diaper, but it does not show the process of putting the diaper on.",True,The diaper is clearly visible on the baby.,True,A baby is present in the image wearing a diaper.
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_1.jpg,False,The video does not show anyone using diapers.,False,No diapers or other Honest Company products are visible in the video.,False,There are no children or babies present in this video.
honest,results/honest/C5WVuacP2Hs_2024-04-04_18-08-04_UTC_2.jpg,False,The video does not show anyone using the product.,False,The product is not seen in the video.,True,There is a baby present in the video.
honest,results/honest/C7O3lAuuKU6_2024-05-21_13-34-33_UTC.jpg,False,"There is a baby present, but it is unclear if they are wearing Honest diapers.",False,Honest products are not clearly seen in this video.,True,A baby is being held by an adult in the video.
honest,results/honest/C-y6e8tpeOr_2024-08-18_03-08-10_UTC_1.jpg,False,"The video shows a person's diaper bag, but does not show anyone using the diapers.",False,No diapers are visible in the video.,False,There are no children or babies present in this video.
honest,results/honest/C_3gPfOxk_y_2024-09-13_18-23-16_UTC_3.jpg,True,A baby is shown wearing a diaper from the Honest brand.,True,The Honest diaper box is clearly visible in the image.,True,There is a baby wearing Honest diapers present in the image.
honest,results/honest/C6XOX88RryN_2024-04-29_22-54-28_UTC_2.jpg,False,The video is a promotional image for a 30-day challenge and does not show anyone using Honest diapers.,False,"The Honest Company logo is visible, but no Honest products are shown.",False,There are no children or babies present in the video.
honest,results/honest/C2-8LJHPO9-_2024-02-05_23-11-48_UTC_1.jpg,False,The video shows a mother and child in a bathroom setting.  The products are visible but there is no demonstration of them being used.,True,Two Honest brand products are clearly visible in the image.  They are on a shelf in the background of the bathroom.,True,A baby or toddler is shown sitting in the mother's lap.
honest,results/honest/C9cndzQMDO-_2024-07-15_14-45-52_UTC.jpg,True,"A baby is wearing a diaper. Although it is not shown being put on, the baby is wearing the diaper and it is clearly visible.",True,The Honest Company diaper is clearly visible on the baby.,True,There is a baby present wearing a diaper.
honest,results/honest/C65KuSLsHLH_2024-05-13_03-16-44_UTC_4.jpg,False,No one in this video is shown using the product.,False,The product is not shown in this video.,True,There are three babies present in the video.
honest,results/honest/C_iohqoPRuP_2024-09-05_15-52-48_UTC.jpg,False,The video shows a baby wearing a hooded towel.  It is not clear if this towel is the product being advertised.,False,"The product is not clearly seen. The video shows a baby in a hooded towel, but the brand of the towel is not visible.",True,A baby is present in the video wearing a hooded towel.
honest,results/honest/C-n6rWzyQzZ_2024-08-13_20-37-36_UTC_1.jpg,False,"The video shows a baby in a box of Honest diapers, but it does not show anyone using the diapers.",True,The Honest diapers are clearly visible in the box and on the packaging.,True,A baby is present in the video; she is sitting inside a box of Honest diapers.
honest,results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_1.jpg,False,"The image shows a family with a newborn, but there is no product shown in action.",False,No product from the brand is visible in the image.,True,A newborn baby is present in the arms of one of the parents.
honest,results/honest/C-RHIV_gshH_2024-08-05_00-01-18_UTC_2.jpg,False,"The video shows a person holding baby wipes, but it does not show the wipes being used on the baby.",True,The Honest brand baby wipes are clearly shown in the image.,True,A baby is present in the image; the baby is being held by a person.
honest,results/honest/C2sZ8cTpzQ-_2024-01-29_18-20-07_UTC.jpg,False,The person in the video is holding the product but not using it.,True,The product is clearly shown in the video.  The Honest brand and product name are visible.,False,No child or baby is present in the video.
honest,results/honest/C97rNAxORw8_2024-07-27_16-19-02_UTC.jpg,False,"The video shows a baby, but it does not show the baby using the diapers. The baby is being held by an adult.",True,A package of Honest diapers is clearly visible on a dresser. The packaging shows the brand name and other details.,True,A baby is present in the video; the baby is being held by an adult.
honest,results/honest/C_3AyLsAfFS_2024-09-13_13-55-19_UTC_1.jpg,False,"The video shows a baby wearing a diaper, but it does not show the process of putting the diaper on.",True,The Honest diapers are clearly visible on the baby and on the table.,True,There is a baby wearing the Honest diapers.
honest,results/honest/C9LoDHQPWt__2024-07-09_00-26-28_UTC.jpg,False,"Although a baby is present, there is no demonstration of product usage.",True,"Honest brand products, including wipes and lotions, are clearly visible on the dresser.",True,A baby is present in the reflection of the mirror.
honest,results/honest/C65KuSLsHLH_2024-05-13_03-16-44_UTC_1.jpg,False,There is no product usage shown in the video.,False,The provided image does not show any product from the brand.,False,There is no child or baby present in the image.
honest,results/honest/C17ODwTMq1c_2024-01-10_15-47-24_UTC.jpg,False,"The video shows a baby and a woman. There is Honest brand lotion in the background, but it is not being used.",True,The Honest brand lotion is clearly visible on the counter.,True,A baby is present in the video.
honest,results/honest/C_gC5QvvaXR_2024-09-04_15-58-14_UTC.jpg,False,The video shows a baby and a mother but does not show them using the product.,True,The product is in focus and clearly visible in the image.,True,A baby is lying next to its mother.
honest,results/honest/C-vV1mnP6f6_2024-08-16_17-48-10_UTC.jpg,False,No one in the video shows themselves using the product in action.,False,The product is not clearly seen from the brand. There is a pack of wipes on the bed but it is not clear what brand they are.,True,There are two children present in the video.
honest,results/honest/C6-EfczujCO_2024-05-15_00-59-41_UTC.jpg,False,"The video shows a baby holding the lotion bottle, but it does not show the lotion being applied.",True,"The Honest face and body lotion bottle is clearly visible in the video. The brand name is visible, as well as other information on the bottle.",True,"A baby is prominently featured in the video, holding the lotion bottle."
honest,results/honest/DBOy2gXPWhk_2024-10-17_16-03-04_UTC.jpg,False,"The video shows a baby wearing a diaper, but it does not show the process of putting on the diaper.",True,"The diaper is visible on the baby, showing its design and pattern.",True,"A baby is present in the video, and it is wearing the brand's diapers."
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_3.jpg,False,"The video does not show anyone using Honest diapers.  A child is present, but not shown using any products.",False,No Honest products are visible in the video.,True,A young child is present in the video.
honest,results/honest/C-9IvCONxeT_2024-08-22_02-29-02_UTC.jpg,False,"The video shows a shopping haul of various products, including Honest Kids juice boxes.  However, it does not depict anyone using the Honest products.",True,Honest Kids juice boxes are clearly visible in the shopping cart.,False,There are no children or babies present in this video.
honest,results/honest/C6tnbX9L1fl_2024-05-08_15-37-02_UTC.jpg,False,"The video shows a baby, but it does not show the baby using the diapers.  The video is about the transition to using hybrid diapers.",False,The Honest Company diapers are not shown in the video.,True,A baby is present in the video.
honest,results/honest/C65KuSLsHLH_2024-05-13_03-16-44_UTC_2.jpg,False,No one in the video is shown using the Honest diapers. The video is of a baby shower.,False,Honest diapers are not seen in the video.,False,There is no baby present in the video.  The video is of a pregnant woman at her baby shower.
honest,results/honest/C-v-eaeAseo_2024-08-16_23-43-02_UTC_1.jpg,False,"A child is shown in a bath, but the products are not shown being used on the child.",True,"Two Honest brand products, a bubble bath and a lotion, are clearly visible in the image.",True,A toddler is sitting in a bathtub.
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_5.jpg,False,The video does not show anyone using Honest diapers.,False,Honest diapers are not seen in this video.,False,There are no children or babies present in this video.
honest,results/honest/C2--VsQgp6-_2024-02-05_23-18-51_UTC.jpg,False,"The person in the video is in a bath with eye patches on, but it is unclear if this is the product being advertised.",True,"The product, which appears to be eye patches, is clearly seen on the side of the tub.",False,There are no children or babies present in the video.
honest,results/honest/C65KuSLsHLH_2024-05-13_03-16-44_UTC_5.jpg,False,No one in the video is shown using diapers or other baby products.,False,No Honest Company products are visible in the video.,False,There are no children or babies present in this video.
honest,results/honest/C2Ir_P-OOYf_2024-01-15_21-19-15_UTC.jpg,False,"The video shows diapers on a bed, but does not show anyone using them.",True,The diapers are clearly shown in the video.  The brand is visible on the diapers.,False,There is no child or baby present in the video.
honest,results/honest/C9ugVHiuE7H_2024-07-22_13-28-43_UTC_1.jpg,False,The video shows a person's hand hanging some baby blankets.  No one is shown using the blankets.,True,"The blankets are clearly seen, and they appear to be soft and absorbent.",False,No child or baby is present in the video.
honest,results/honest/C-3kELxSbx9_2024-08-19_22-26-52_UTC_1.jpg,False,"The video shows a baby, but it does not show anyone using the product.",False,"The product is not clearly seen in this video.  There is a baby wearing clothes, but the brand of the clothes is not visible.",True,There is a baby present in the video.
honest,results/honest/C-Toc02RZ7Z_2024-08-05_23-30-00_UTC_2.jpg,False,"The video shows a baby wearing a diaper, but there is no action of putting it on or taking it off shown.",True,The diaper is clearly visible on the baby.,True,A baby is present in the video wearing a diaper.
honest,results/honest/C_JOkMqSvrm_2024-08-26_19-03-44_UTC_4.jpg,False,No product is used in the video. The video shows a child sitting on a bench.,False,No product is seen in the video.,True,A young child is present in the video.
honest,results/honest/C5dvPsPuj-u_2024-04-07_15-08-38_UTC_1.jpg,False,"The video shows a baby's hand reaching for the diapers, but it does not show the diapers being used on the baby.",True,Three different diaper prints are clearly shown on the bed.,True,"A baby's arm and hand are visible in the video; however, the baby's face is not clearly shown."
honest,results/honest/C-Tkr4oJApf_2024-08-05_22-59-51_UTC_1.jpg,False,"The video shows a baby and a woman, but it does not show the baby using the product.",False,The product is not seen in the video.,True,There is a baby present in the video.
honest,results/honest/C_3gPfOxk_y_2024-09-13_18-23-16_UTC_2.jpg,False,"The video shows a package of Honest wipes on the floor, but does not show anyone using them.",True,A package of Honest wipes is clearly visible on the floor.,True,A baby is present in the video.
honest,results/honest/C17RXJNOJdr_2024-01-10_16-16-16_UTC_1.jpg,False,"A person is shown holding a package of Honest diapers, but the diapers are not being used on a baby in the video.",True,A package of Honest diapers is clearly visible on a dresser.,True,"A baby is present in the video, sitting on a dresser."
honest,results/honest/C3blRYlg7cY_2024-02-17_01-59-31_UTC.jpg,False,"The video shows a person showing the content of their bag, but there is no product usage shown.",False,There is no product shown in the video.,False,There is no child or baby present in this video.
honest,results/honest/C_3gPfOxk_y_2024-09-13_18-23-16_UTC_1.jpg,False,"The video shows a baby and Honest brand products, but it does not show anyone using the diapers.",True,A box of Honest diapers is clearly visible in the video. ,True,A baby is present in the video.
honest,results/honest/C9Vs2BpvGl9_2024-07-12_22-16-49_UTC_1.jpg,False,"Although a baby is present, the video doesn't show the product being used on the baby. ",True,A pack of Honest diapers is clearly visible on the floor near the dresser.,True,A baby is shown on the changing table.
honest,results/honest/C0RoGqUMbQi_2023-11-30_15-35-29_UTC.jpg,False,"The baby is present, but there is no demonstration of how the product is used. ",True,The Honest brand diapers and wipes are clearly visible in the image.,True,A baby is lying on a play mat.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_2.jpg,False,"The video shows a person holding the product, but it does not show the product being used.",True,The product is clearly seen in the video; it's a jar of Honest Hydrogel Cream.,False,There are no children or babies present in this video.
honest,results/honest/C7E7GCjJody_2024-05-17_16-51-33_UTC.jpg,False,"The video shows the Honest diapers and other products laid out on a bed, but it does not show anyone using them.",True,The Honest diapers are clearly visible in the video.,False,There is no child or baby present in the video.
honest,results/honest/C__pzQhpr1M_2024-09-16_22-23-00_UTC.jpg,False,The video does not show anyone using the diapers.  It is a photo of a baby being held.,False,The product is not seen at all in this image.,True,A baby is being held in the arms of an adult.
honest,results/honest/C-RHIV_gshH_2024-08-05_00-01-18_UTC_1.jpg,False,"The video shows a baby wearing the diaper, but it does not show the process of putting the diaper on.",True,"The diaper is clearly visible on the baby, showing its design and features.",True,A baby is being held by an adult in the video. The baby is wearing a diaper.
honest,results/honest/C5RJLagLDOB_2024-04-02_17-53-47_UTC.jpg,,,,,,
honest,results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_2.jpg,False,No product is being used in the video. The video shows a mother holding her newborn baby.,False,No product from the brand is shown in the video.,True,A newborn baby is present in the video.
honest,results/honest/C6XOX88RryN_2024-04-29_22-54-28_UTC_1.jpg,False,The video is a promotional image for a challenge and does not show anyone using the product.,False,"The Honest Company logo is visible, but no Honest Company products are shown.",False,There are no children or babies present in the video.
honest,results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_4.jpg,False,"The image shows a mother and baby, but there is no product in action.",False,No product from the brand is visible in the image.,True,A baby is visible in the mother's arms.
honest,results/honest/C-8J5i_vfAa_2024-08-21_17-12-50_UTC_6.jpg,False,There is no product being used in the video. The video shows a baby and an adult interacting.,False,The product is not shown in the video.,True,A baby is present in the video.
honest,results/honest/C7g5McJg9zf_2024-05-28_13-34-39_UTC_1.jpg,False,"The video shows a person preparing items for bed, but does not show the products being used in action.",True,The Honest brand diapers and wipes are clearly visible on the changing table.,False,There is no child or baby present in the video.
honest,results/honest/C3SblBGMawx_2024-02-13_12-39-28_UTC.jpg,,,,,,
honest,results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_5.jpg,False,There is no product shown in the video that is being used by anyone.,False,There is no product from the brand shown in the video.,False,There is no child or baby present in the video.
honest,results/honest/C-EDT4CS7Ai_2024-07-30_22-17-48_UTC_4.jpg,,,,,,
honest,results/honest/C-LI26lvdIl_2024-08-02_16-20-57_UTC.jpg,False,"The video shows a baby and a woman holding diapers, but it does not show the diapers being put on the baby.",True,The diapers are clearly visible in the woman's and baby's hands.,True,A baby is visible sitting next to the woman.
honest,results/honest/C_DyMjbP7zA_2024-08-24_16-20-46_UTC.jpg,False,"The video shows a baby and a person taking a selfie, there is no product in action.",False,No product from the brand is visible in the video.,True,There is a baby present in the image.
honest,results/honest/C-IRz2Jxh5-_2024-08-01_13-41-27_UTC_2.jpg,False,"The video shows a baby and an adult, but it does not show the baby using diapers. ",True,A basket of Honest diapers is clearly visible in the video. ,True,There is a baby present in the video.
honest,results/honest/C17RXJNOJdr_2024-01-10_16-16-16_UTC_2.jpg,False,"A baby is present, but there is no depiction of the baby using the diapers or any other Honest products. The woman in the video is holding Honest diapers.",True,A package of Honest diapers is clearly visible on the changing table.,True,A baby is present in the video. The baby is being held by a woman.
honest,results/honest/C_Om9hkOLKq_2024-08-28_21-14-30_UTC_1.jpg,True,"A baby is shown wearing a diaper.  While we don't see the application of the diaper, the baby is clearly wearing one.",False,"The diaper itself is not clearly visible, only part of it is seen on the baby.",True,There is a baby present in the video; the baby is being held by a person in a chair.
rascalsbaby,results/rascalsbaby/DA_fPSDP2oW_2024-10-11_17-19-49_UTC_7.jpg,False,"The video shows a person holding a diaper, but it is not shown in action on a baby.",True,The diaper is clearly shown with the brand name visible.,False,There is no child or baby present in the video.
rascalsbaby,results/rascalsbaby/DAqqbKCvxPG_2024-10-03_15-13-30_UTC_2.jpg,False,"The video shows a baby sitting on a box of Rascals diapers, but does not show the baby using the diapers.",True,"The box of Rascals diapers is clearly visible, and there is also a smaller image of the diaper packaging shown within the marketing materials in the baby's hand.",True,"A baby is prominently featured in the video, sitting on a box of diapers."
rascalsbaby,results/rascalsbaby/C-ajqqOsTWb_2024-08-08_16-09-12_UTC_1.jpg,False,There is no one in the video showing the usage of the product.,True,"The products are clearly shown in the image, including training pants and sensitive wipes.",True,A child is present in the image.
rascalsbaby,results/rascalsbaby/DA_fPSDP2oW_2024-10-11_17-19-49_UTC_4.jpg,False,"The video shows the product on a shelf, but does not show anyone using the product.",True,"The product, Rascals diapers, is clearly visible in the image.  The packaging clearly shows the brand name.",False,There is no child or baby present in the image.
rascalsbaby,results/rascalsbaby/DAMUZDXyK5B_2024-09-21_20-23-46_UTC_8.jpg,False,"The video shows a toddler holding a diaper, but it is not shown being put on or used.",True,The diaper is clearly visible in the toddler's hands; the brand is also visible.,True,A toddler is holding the diaper.
rascalsbaby,results/rascalsbaby/DA_fPSDP2oW_2024-10-11_17-19-49_UTC_6.jpg,False,"The image shows a diaper and other baby items on a surface, but there is no person shown using the diaper.",True,A diaper with the Rascals brand is clearly visible in the image.,False,There is no child or baby present in the image.
rascalsbaby,results/rascalsbaby/C_Qsbf6gRso_2024-08-29_16-39-45_UTC_1.jpg,False,"The video shows the product on a shelf, but there are no people in the video using the product.",True,The product is clearly visible in the box and in the packaging.,False,"There is an image of a baby on the product packaging, but no baby is physically present in the video."
rascalsbaby,results/rascalsbaby/DAMUZDXyK5B_2024-09-21_20-23-46_UTC_4.jpg,False,"The video shows a baby looking at a newspaper with an advertisement for Rascals baby products, but it does not show the baby using the product.",True,The Rascals baby product packaging is clearly visible in the newspaper advertisement.,True,"A baby is present in the video, looking at the newspaper advertisement."
rascalsbaby,results/rascalsbaby/DA_fPSDP2oW_2024-10-11_17-19-49_UTC_3.jpg,True,A baby is shown wearing the diapers,True,The diaper packaging and the diapers on the baby are clearly visible,True,There is a baby wearing the diapers
rascalsbaby,results/rascalsbaby/DAMUZDXyK5B_2024-09-21_20-23-46_UTC_3.jpg,False,"The video shows a baby sitting on a box of Rascals diapers, but it is not shown actively using the product.",True,A box of Rascals diapers is clearly visible in the foreground of the video.,True,"A baby is present in the video, sitting on a box of diapers."
rascalsbaby,results/rascalsbaby/C-TNI3DybX3_2024-08-05_19-34-50_UTC.jpg,False,"The video shows a woman holding a box of Rascals Premium Diapers.  There is also a container of diapers shown, but no one is shown using them.",True,"The product, Rascals Premium Diapers, is clearly visible on the box and in the diaper caddy. The box shows the brand name and images of babies.",True,Babies are shown on the packaging of the diapers.
